name,normalized_name,type,province,city,external_id,source,source_url,approval_status,institution_status
SMA PGRI CIAMBAR,sma pgri ciambar,sma,,Kab. Sukabumi,69888716,school_pdf,,approved,Swasta
SMA PGRI CIDAHU,sma pgri cidahu,sma,,Kab. Sukabumi,69888787,school_pdf,,approved,Swasta
SMAN 1 KROYA,sman 1 kroya,sma,,Kab. Indramayu,20215975,school_pdf,,approved,Negeri
SMAN 1 TENJO,sman 1 tenjo,sma,,Kab. Bogor,20231338,school_pdf,,approved,Negeri
SMAN 1 CIOMAS,sman 1 ciomas,sma,,Kab. Bogor,20232374,school_pdf,,approved,Negeri
SMAN 1 SUKASARI,sman 1 sukasari,sma,,Kab. Purwakarta,20229747,school_pdf,,approved,Negeri
SMK ASSHIDDIQIYAH 10,smk asshiddiqiyah 10,smk,,Kab. Cianjur,69830537,school_pdf,,approved,Swasta
SMAS AL HASANAH,smas al hasanah,sma,,Kab. Bogor,20253857,school_pdf,,approved,Swasta
SMAS AL HIKMAH,smas al hikmah,sma,,Kab. Bogor,20268875,school_pdf,,approved,Swasta
SMAS ASHRIYAH NURUL IMAN,smas ashriyah nurul iman,sma,,Kab. Bogor,20257671,school_pdf,,approved,Swasta
SMK 98 CIAWI,smk 98 ciawi,smk,,Kab. Bogor,69877904,school_pdf,,approved,Swasta
SMK AL-MUHSININ,smk al-muhsinin,smk,,Kab. Bandung,69955507,school_pdf,,approved,Swasta
SMAS IBNU HAJAR,smas ibnu hajar,sma,,Kab. Bogor,20232339,school_pdf,,approved,Swasta
SMAS MUHAMMADIYAH CILEUNGSI,smas muhammadiyah cileungsi,sma,,Kab. Bogor,20200677,school_pdf,,approved,Swasta
SMAS MUHAMMADIYAH PAMIJAHAN,smas muhammadiyah pamijahan,sma,,Kab. Bogor,20232368,school_pdf,,approved,Swasta
SMAN 6 BOGOR,sman 6 bogor,sma,,Kota Bogor,20220335,school_pdf,,approved,Negeri
SMAN 1 CIGUDEG,sman 1 cigudeg,sma,,Kab. Bogor,20231325,school_pdf,,approved,Negeri
SMAN 1 CIJERUK,sman 1 cijeruk,sma,,Kab. Bogor,20271050,school_pdf,,approved,Negeri
SMAN 1 CISARUA,sman 1 cisarua,sma,,Kab. Bogor,20232375,school_pdf,,approved,Negeri
SMAN 1 GUNUNG SINDUR,sman 1 gunung sindur,sma,,Kab. Bogor,20231331,school_pdf,,approved,Negeri
SMAN 1 JASINGA,sman 1 jasinga,sma,,Kab. Bogor,20200587,school_pdf,,approved,Negeri
SMAN 1 TAJURHALANG,sman 1 tajurhalang,sma,,Kab. Bogor,20232371,school_pdf,,approved,Negeri
SMKS JOYOREJO,smks joyorejo,smk,,Kab. Bogor,69728240,school_pdf,,approved,Swasta
SMAN 1 BABAKAN MADANG,sman 1 babakan madang,sma,,Kab. Bogor,20231322,school_pdf,,approved,Negeri
SMAN 1 CIAMPEA,sman 1 ciampea,sma,,Kab. Bogor,20200676,school_pdf,,approved,Negeri
SMKS KARYA INSANI,smks karya insani,smk,,Kab. Bogor,69728750,school_pdf,,approved,Swasta
SMA IT DARUL QUR`AN MULIA,sma it darul qur`an mulia,sma,,Kab. Bogor,70035800,school_pdf,,approved,Swasta
SMKS JAYABEKA 03,smks jayabeka 03,smk,,Kab. Karawang,69774547,school_pdf,,approved,Swasta
SMAN 1 CIBUNGBULANG,sman 1 cibungbulang,sma,,Kab. Bogor,20231324,school_pdf,,approved,Negeri
SMAN 1 JONGGOL,sman 1 jonggol,sma,,Kab. Bogor,20200680,school_pdf,,approved,Negeri
SMAN 1 LEUWILIANG,sman 1 leuwiliang,sma,,Kab. Bogor,20200601,school_pdf,,approved,Negeri
SMAN 1 CIEMAS,sman 1 ciemas,sma,,Kab. Sukabumi,60726697,school_pdf,,approved,Negeri
SMAN 1 SIMPENAN,sman 1 simpenan,sma,,Kab. Sukabumi,20202258,school_pdf,,approved,Negeri
SMA IT ATTA AWUN,sma it atta awun,sma,,Kab. Garut,69980025,school_pdf,,approved,Swasta
SMK Islam Terpadu IQRO Leles,smk islam terpadu iqro leles,smk,,Kab. Garut,69882346,school_pdf,,approved,Swasta
SMKS BINA MANDIRI,smks bina mandiri,smk,,Kota Depok,20268871,school_pdf,,approved,Swasta
SMAS BINA INSAN JONGGOL,smas bina insan jonggol,sma,,Kab. Bogor,20232353,school_pdf,,approved,Swasta
SMAS HANURA,smas hanura,sma,,Kab. Bogor,20232337,school_pdf,,approved,Swasta
SMAS HARAPAN BANGSA,smas harapan bangsa,sma,,Kab. Bogor,20200688,school_pdf,,approved,Swasta
SMAS NURUL FALAAH,smas nurul falaah,sma,,Kab. Bogor,20252959,school_pdf,,approved,Swasta
SMAS PGRI CIAWI,smas pgri ciawi,sma,,Kab. Bogor,20232392,school_pdf,,approved,Swasta
SMAS PGRI JONGGOL,smas pgri jonggol,sma,,Kab. Bogor,20232391,school_pdf,,approved,Swasta
SMA KP 1 PASEH,sma kp 1 paseh,sma,,Kab. Bandung,20227850,school_pdf,,approved,Swasta
SMK BOASH 1,smk boash 1,smk,,Kab. Bogor,20232487,school_pdf,,approved,Swasta
SMK BUKIT GLORIA,smk bukit gloria,smk,,Kab. Bogor,69878508,school_pdf,,approved,Swasta
SMK CAHAYA,smk cahaya,smk,,Kab. Bogor,20254845,school_pdf,,approved,Swasta
SMK FAJAR UTAMA,smk fajar utama,smk,,Kab. Bogor,70023638,school_pdf,,approved,Swasta
SMK GLOBAL SURYA PRATAMA,smk global surya pratama,smk,,Kab. Bogor,69908501,school_pdf,,approved,Swasta
SMAS PGRI LEUWILIANG,smas pgri leuwiliang,sma,,Kab. Bogor,20200669,school_pdf,,approved,Swasta
SMA Qur`an el Tahdh,sma qur`an el tahdh,sma,,Kab. Bogor,70026792,school_pdf,,approved,Swasta
SMAN 1 RANCABUNGUR,sman 1 rancabungur,sma,,Kab. Bogor,69754446,school_pdf,,approved,Negeri
SMA SINAR ISLAM ASIA PASIFIC BOARDING SCHOOL,sma sinar islam asia pasific boarding school,sma,,Kab. Bogor,70029923,school_pdf,,approved,Swasta
SMK AVICENNA MANDIRI,smk avicenna mandiri,smk,,Kab. Bogor,69888840,school_pdf,,approved,Swasta
SMK BINA MANDIRI MULTIMEDIA,smk bina mandiri multimedia,smk,,Kab. Bogor,69984405,school_pdf,,approved,Swasta
SMKS MADANI,smks madani,smk,,Kota Depok,20258060,school_pdf,,approved,Swasta
SMK BINASENA,smk binasena,smk,,Kab. Bogor,69859698,school_pdf,,approved,Swasta
SMK GOLDEN,smk golden,smk,,Kab. Bogor,69967704,school_pdf,,approved,Swasta
